edition_date,periodId,team,team_source,rank,points,confederation
2026-04-01,20260401,Lesotho,Lesotho,145,1067,
2026-04-01,20260401,Botswana,Botswana,146,1064,
2026-04-01,20260401,Singapore,Singapore,147,1060,
2026-04-01,20260401,Lithuania,Lithuania,148,1058,
2026-04-01,20260401,Yemen,Yemen,149,1049,
2026-04-01,20260401,Guyana,Guyana,150,1049,
2026-04-01,20260401,New Caledonia,New Caledonia,151,1037,
2026-04-01,20260401,St. Kitts and Nevis,St. Kitts and Nevis,152,1036,
2026-04-01,20260401,Solomon Islands,Solomon Islands,153,1032,
2026-04-01,20260401,Fiji,Fiji,154,1030,
2026-04-01,20260401,Hong Kong,Hong Kong,155,1027,
2026-04-01,20260401,Puerto Rico,Puerto Rico,156,1026,
2026-04-01,20260401,Tahiti,Tahiti,157,1019,
2026-04-01,20260401,Myanmar,Myanmar,158,1012,
2026-04-01,20260401,Moldova,Moldova,159,1004,
2026-04-01,20260401,Vanuatu,Vanuatu,160,997,
2026-04-01,20260401,Malta,Malta,161,988,
2026-04-01,20260401,Antigua and Barbuda,Antigua and Barbuda,162,987,
2026-04-01,20260401,Grenada,Grenada,163,983,
2026-04-01,20260401,Cuba,Cuba,164,981,
2026-04-01,20260401,Eswatini,Eswatini,165,979,
2026-04-01,20260401,Bermuda,Bermuda,166,977,
2026-04-01,20260401,Saint Lucia,Saint Lucia,167,977,
2026-04-01,20260401,Papua New Guinea,Papua New Guinea,168,975,
2026-04-01,20260401,Afghanistan,Afghanistan,169,973,
2026-04-01,20260401,South Sudan,South Sudan,170,971,
2026-04-01,20260401,Saint Vincent and The Grenadines,Saint Vincent and The Grenadines,171,968,
2026-04-01,20260401,Maldives,Maldives,172,955,
2026-04-01,20260401,Andorra,Andorra,173,945,
2026-04-01,20260401,Chinese Taipei,Chinese Taipei,174,924,
2026-04-01,20260401,Montserrat,Montserrat,175,917,
2026-04-01,20260401,Nepal,Nepal,176,915,
2026-04-01,20260401,Cambodia,Cambodia,177,912,
2026-04-01,20260401,Mauritius,Mauritius,178,911,
2026-04-01,20260401,Barbados,Barbados,179,910,
2026-04-01,20260401,Belize,Belize,180,907,
2026-04-01,20260401,Bangladesh,Bangladesh,181,900,
2026-04-01,20260401,Dominica,Dominica,182,898,
2026-04-01,20260401,Chad,Chad,183,897,
2026-04-01,20260401,Laos,Laos,185,885,
2026-04-01,20260401,Bhutan,Bhutan,186,881,
2026-04-01,20260401,Mongolia,Mongolia,187,880,
2026-04-01,20260401,Cook Islands,Cook Islands,188,878,
2026-04-01,20260401,Aruba,Aruba,189,877,
2026-04-01,20260401,Samoa,Samoa,190,876,
2026-04-01,20260401,Sri Lanka,Sri Lanka,191,872,
2026-04-01,20260401,American Samoa,American Samoa,192,872,
2026-04-01,20260401,Brunei,Brunei,193,863,
2026-04-01,20260401,Macao,Macao,194,858,
2026-04-01,20260401,Cayman Islands,Cayman Islands,195,855,
2026-04-01,20260401,Sao Tome and Principe,Sao Tome and Principe,196,855,
2026-04-01,20260401,Djibouti,Djibouti,197,854,
2026-04-01,20260401,Somalia,Somalia,198,839,
2026-04-01,20260401,Tonga,Tonga,199,836,
2026-04-01,20260401,Timor-Leste,Timor-Leste,200,826,
2026-04-01,20260401,Guam,Guam,201,825,
2026-04-01,20260401,Pakistan,Pakistan,202,825,
2026-04-01,20260401,Gibraltar,Gibraltar,203,810,
2026-04-01,20260401,Seychelles,Seychelles,204,804,
